Year,Exporter,Exporter_ISO3,Exporter_Region,Exporter_Alliance,UNSC_Permanent_Member,Importer,Importer_ISO3,Importer_Region,Weapon_Category,Weapon_Subtype,Weapon_Class,Deal_Value_USD_M,Quantity,Deal_Framework,Technology_Transfer,Delivery_Timeline_Months,Importer_GDP_Per_Capita,Importer_Political_Stability,Importer_Democracy_Index,Importer_Conflict_Proximity,Active_Territorial_Dispute,Natural_Resource_Dependence,Importer_Military_Spend_Pct_GDP,Arms_Import_Trend,UN_Embargo,Escalation_Risk
2020,United States,USA,North America,NATO,Yes,Taiwan,TWN,East Asia & Pacific,Armoured Vehicles,Main Battle Tank,Offensive,52.8,51,Foreign Military Sales,No,10,31868,7.0,8.9,No,Yes,Low,2.3,Accelerating,No,Medium
2009,United States,USA,North America,NATO,Yes,Romania,ROU,Europe & Central Asia,Missiles & Air Defence,Cruise Missile,Offensive,149.4,11,Government-to-Government,No,10,14412,5.9,6.6,No,No,Low,2.7,Declining,No,Low
2024,United States,USA,North America,NATO,Yes,Greece,GRC,Europe & Central Asia,Naval Vessels,Submarine,Offensive,177.7,19,Multilateral Programme,No,45,21297,6.0,7.2,No,Yes,Low,3.5,Accelerating,No,High
2023,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Naval Vessels,Submarine,Offensive,121.7,10,Foreign Military Sales,No,9,17525,6.9,7.2,No,No,Low,3.6,Accelerating,No,Medium
2008,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Armoured Vehicles,APC,Defensive,24.3,107,Government-to-Government,No,37,58154,8.2,8.8,No,No,Medium,2.2,Accelerating,No,Low
2021,United States,USA,North America,NATO,Yes,Australia,AUS,East Asia & Pacific,Naval Vessels,Submarine,Offensive,92.7,19,Bilateral Defence Pact,Yes,46,58055,8.1,8.9,No,No,Medium,2.1,Stable,No,Low
2019,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Combat Aircraft,Fighter Jet,Offensive,688.0,21,Direct Commercial Sale,No,47,24745,4.5,1.6,Yes,No,High,6.1,Stable,No,High
2015,United States,USA,North America,NATO,Yes,Brazil,BRA,Latin America & Caribbean,Combat Aircraft,Fighter Jet,Offensive,481.5,6,Foreign Military Sales,Yes,32,8987,5.2,6.7,No,No,Medium,1.6,Stable,No,Medium
2005,United States,USA,North America,NATO,Yes,Poland,POL,Europe & Central Asia,Sensors & Electronics,Targeting Pod,Offensive,58.9,4,Bilateral Defence Pact,Yes,44,16794,7.2,6.8,No,No,Low,3.9,Accelerating,No,Medium
2024,United States,USA,North America,NATO,Yes,Singapore,SGP,East Asia & Pacific,Combat Aircraft,Fighter Jet,Offensive,762.9,13,Foreign Military Sales,No,30,68833,8.8,6.2,No,No,Low,2.9,Declining,No,Low
2019,United States,USA,North America,NATO,Yes,Saudi Arabia,SAU,Middle East & North Africa,Sensors & Electronics,EW Suite,Defensive,72.0,18,Foreign Military Sales,No,20,22833,4.3,1.8,Yes,No,High,6.2,Accelerating,No,High
2016,United States,USA,North America,NATO,Yes,Mexico,MEX,Latin America & Caribbean,Small Arms & Light Weapons,ATGM,Offensive,7.4,422,Bilateral Defence Pact,No,31,9821,3.6,5.5,No,No,Medium,0.4,Stable,No,Low
2021,United States,USA,North America,NATO,Yes,Morocco,MAR,Middle East & North Africa,Armoured Vehicles,IFV,Offensive,29.4,17,Offset Agreement,No,23,3453,4.5,4.0,No,Yes,Medium,2.8,Declining,No,Medium
